Date : 2024-04-15 10:42:31
Directory : /Users/congzheng/Desktop/OMS_WEB
Total : 116 files,  30926 codes, 512 comments, 2384 blanks, all 33822 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     14,796 |          0 |          2 |     14,798 |
| Vue        |         51 |      7,363 |         36 |        868 |      8,267 |
| YAML       |          1 |      6,087 |          0 |        919 |      7,006 |
| JavaScript |         34 |      1,379 |        224 |        254 |      1,857 |
| PHP        |         23 |        891 |        155 |        208 |      1,254 |
| CSS        |          1 |        316 |         26 |         98 |        440 |
| Markdown   |          1 |         64 |          0 |         25 |         89 |
| Java       |          2 |         19 |         69 |          9 |         97 |
| HTML       |          1 |         11 |          2 |          1 |         14 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |        116 |     30,926 |        512 |      2,384 |     33,822 |
| . (Files)                                                                                                                                              |          1 |         64 |          0 |         25 |         89 |
| back_end                                                                                                                                               |         25 |        910 |        224 |        217 |      1,351 |
| back_end/php                                                                                                                                           |         25 |        910 |        224 |        217 |      1,351 |
| back_end/php/centralMaintenance                                                                                                                        |         10 |        450 |         84 |         82 |        616 |
| back_end/php/centralMaintenance/FailureReportNew                                                                                                       |          3 |        284 |         35 |         46 |        365 |
| back_end/php/centralMaintenance/GroundTestNew                                                                                                          |          4 |         66 |         31 |         26 |        123 |
| back_end/php/centralMaintenance/NVM                                                                                                                    |          2 |         68 |         12 |          6 |         86 |
| back_end/php/centralMaintenance/extendedFunctions                                                                                                      |          1 |         32 |          6 |          4 |         42 |
| back_end/php/conditionMonitoring                                                                                                                       |         11 |        372 |         61 |        115 |        548 |
| back_end/php/conditionMonitoring/eventLog                                                                                                              |          2 |         56 |         14 |          7 |         77 |
| back_end/php/conditionMonitoring/paramerDisplay                                                                                                        |          8 |        290 |         42 |         99 |        431 |
| back_end/php/conditionMonitoring/paramerLinesDisplay                                                                                                   |          1 |         26 |          5 |          9 |         40 |
| back_end/php/config                                                                                                                                    |          1 |          4 |          3 |          4 |         11 |
| back_end/php/utils                                                                                                                                     |          3 |         84 |         76 |         16 |        176 |
| front_end                                                                                                                                              |         90 |     29,952 |        288 |      2,142 |     32,382 |
